Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,Movie Name,Critics Score,Audience Score,Rerelease Date (Theaters),Release Date (DVD)
Yasujirô Ozu,Takeshi Yamamoto,"Kôgo Noda, 
Yasujirô Ozu","New Yorker Films, 
DeA Planeta S.L., 
Criterion Collection, 
Shochiku Films Ltd.",Shochiku Films,,Drama,Japanese,"Nov 3, 1953, Wide","Feb 23, 2012",,2h 14m,Mono,,Tokyo Story,100%,93%,,
Richard Lester,Walter Shenson,Alun Owen,Miramax Films,Proscenium Films,G,"Musical, 
Comedy",English,"Aug 11, 1964, Wide","Jul 14, 2015",,1h 23m,"Stereo, 
Surround",Flat (1.66:1),A Hard Day's Night,98%,89%,"Jul 4, 2014",
Fritz Lang,Erich Pommer,"Fritz Lang, 
Thea von Harbou, 
Thea von Harbou",Paramount Pictures,Paramount,,"Sci-Fi, 
Drama",German,"Mar 13, 1927, Original","Dec 21, 2016",$1.2M,2h 3m,"Dolby SR, 
Dolby Digital, 
Dolby A, 
Dolby Stereo",Flat (1.85:1),Metropolis,97%,92%,"Oct 14, 2011",
Gus Van Sant,Lawrence Bender,"Matt Damon, 
Ben Affleck",Miramax Films,"Miramax Films, 
Be Gentlemen Limited Partnership, 
Lawrence Bender Productions",R,Drama,English,"Jan 9, 1998, Wide","Apr 14, 2016",$138.3M,2h 6m,"Surround, 
Dolby Digital",35mm,Good Will Hunting,97%,94%,,
Charlie Chaplin,Charlie Chaplin,Charlie Chaplin,United Artists,Charles Chaplin Productions,,"Comedy, 
Drama, 
Adventure",English,"Jun 26, 1925, Wide","May 5, 2017",,1h 22m,,Academy (1.33:1),The Gold Rush,100%,93%,,
James Cameron,Gale Anne Hurd,"James Cameron, 
David Giler",20th Century Fox,"Twentieth Century Fox, 
Brandywine Productions",R,"Sci-Fi, 
Horror, 
Action",English,"Jul 18, 1986, Wide","Mar 1, 2013",$77.6M,2h 17m,"Surround, 
Dolby Stereo, 
Magnetic Stereo 6 Track, 
Stereo",Flat (1.85:1),Aliens,94%,94%,,
"Joaquim Dos Santos, 
Kemp Powers, 
Justin K. Thompson","Christopher Miller, 
Phil Lord, 
Amy Pascal, 
Avi Arad, 
Christina Steinberg","Phil Lord, 
Christopher Miller, 
David Callaham",Sony Pictures,"Sony Pictures Entertainment (SPE), 
Lord Miller, 
Sony Pictures Animation, 
Arad Productions, 
Marvel Entertainment, 
Pascal Pictures",PG (Some Language|Animated Action Violence|Thematic Elements),"Kids & Family, 
Action, 
Adventure, 
Comedy, 
Fantasy, 
Animation",English,"Jun 2, 2023, Wide","Aug 8, 2023",$381.2M,2h 20m,"Dolby Digital, 
Dolby Atmos, 
SDDS",Digital 2.39:1,Spider-Man: Across the Spider-Verse,95%,94%,,
Sergio Leone,Alberto Grimaldi,"Agenore Incrocci, 
Furio Scarpelli, 
Luciano Vincenzoni, 
Sergio Leone","Metro-Goldwyn-Mayer, 
United Artists","Constantin Film, 
Produzioni Europee Associati",R,Western,Italian,"Dec 29, 1967, Original","Aug 27, 2015",,2h 41m,,Scope (2.35:1),"The Good, the Bad and the Ugly",97%,97%,,
David Yates,"David Heyman, 
David Barron, 
J.K. Rowling",Steve Kloves,Warner Bros. Pictures,"Heyday Films, 
Moving Picture Company, 
Warner Bros.",PG-13 (Seq of Intense Action Violence|Frightening Images),"Fantasy, 
Adventure",English,"Jul 15, 2011, Wide","Jul 20, 2013",$381.0M,2h 11m,"SDDS, 
Dolby Digital",,Harry Potter and the Deathly Hallows: Part 2,96%,89%,,
Jonathan Demme,"Ronald M. Bozman, 
Edward Saxon, 
Kenneth Utt","Thomas Harris, 
Ted Tally",Orion Pictures,Orion Pictures,R,"Mystery & Thriller, 
Crime, 
Drama",English,"Feb 13, 1991, Wide","Aug 27, 2015",$130.7M,1h 59m,"Dolby Stereo, 
Dolby SR, 
Surround",Flat (1.66:1),The Silence of the Lambs,95%,95%,,
Ingmar Bergman,"Jörn Donner, 
Daniel Toscan du Plantier",Ingmar Bergman,Embassy Pictures,"Persona Films, 
Cinematograph AB, 
Gaumont, 
Svenska Filminstitutet, 
SVT Drama",R,Drama,Swedish,"Jun 17, 1983, Original","Jan 7, 2017",,3h 8m,,,Fanny and Alexander,100%,94%,,
Otto Preminger,Otto Preminger,"Jay Dratler, 
Samuel Hoffenstein, 
Elizabeth Reinhardt",,Twentieth Century Fox,,Mystery & Thriller,English,"Oct 11, 1944, Original","Mar 1, 2013",,1h 28m,,,Laura,100%,90%,,
Ernst Lubitsch,Ernst Lubitsch,"Miklós László, 
Samson Raphaelson",Metro-Goldwyn-Mayer,"Metro Goldwyn Mayer, 
Loew's Inc.",,"Romance, 
Comedy",English,"Jan 12, 1940, Wide","Apr 16, 2012",,1h 37m,,,The Shop Around the Corner,99%,91%,,
Howard Hawks,Howard Hawks,"Ben Hecht, 
Charles MacArthur, 
Charles Lederer",Columbia Pictures,Columbia Pictures,,Comedy,English,"Jan 11, 1940, Original","Jul 30, 2014",,1h 32m,Mono,35mm,His Girl Friday,99%,90%,,
Lewis Milestone,Carl Laemmle Jr.,"Erich Maria Remarque, 
George Abbott, 
Del Andrews, 
Maxwell Anderson, 
Maxwell Anderson, 
Lewis Milestone",Universal Pictures,Universal Pictures,,War,English,"Aug 24, 1930, Original","Apr 22, 2014",,1h 45m,,,All Quiet on the Western Front,98%,89%,,
Pete Docter,Darla K. Anderson,"Pete Docter, 
Jill Culton, 
Jeff Pidgeon, 
Ralph Eggleston, 
Andrew Stanton, 
Daniel Gerson",Walt Disney Pictures,"Walt Disney Productions, 
Pixar Animation Studios",G,"Kids & Family, 
Comedy, 
Fantasy, 
Adventure, 
Animation",English,"Nov 2, 2001, Wide","Mar 1, 2013",$494.0K,1h 32m,"Dolby SR, 
DTS, 
Dolby Stereo, 
Surround, 
SDDS, 
Dolby A, 
Dolby Digital",Flat (1.85:1),"Monsters, Inc.",96%,90%,,
Federico Fellini,Dino De Laurentiis,"Federico Fellini, 
Ennio Flaiano, 
Tullio Pinelli",Paramount Pictures,"Dino de Laurentiis Corp., 
Les Films Marceau",,Drama,Italian,"Dec 31, 1957, Original","May 1, 2008",$823.6K,1h 50m,Mono,Flat (1.37:1),Nights of Cabiria,100%,94%,"Dec 17, 2021",
Satyajit Ray,,Satyajit Ray,,Government of West Bengal,,Drama,Bangla,,"Oct 20, 2015",,2h 6m,,,Pather Panchali,98%,93%,,
Vincente Minnelli,Arthur Freed,"Irving Brecher, 
Fred F. Finklehoffe","Metro-Goldwyn-Mayer, 
Warner Home Vídeo, 
MGM/UA Home Entertainment Inc.",Metro Goldwyn Mayer,,Musical,English,"Nov 28, 1944, Original","May 19, 2016",,1h 53m,Mono,,Meet Me in St. Louis,100%,87%,,
Billy Wilder,Arthur Hornblow Jr.,"Agatha Christie, 
Lawrence B. Marcus, 
Billy Wilder, 
Harry Kurnitz","United Artists, 
Metro-Goldwyn-Mayer",United Artists,,"Crime, 
Drama, 
Mystery & Thriller",English,"Dec 21, 1957, Original","Sep 16, 2008",,1h 54m,Mono,"35mm, 
1.66:1",Witness for the Prosecution,100%,95%,,
Bo Burnham,"Scott Rudin, 
Eli Bush, 
Lila Yacoub, 
Christopher Storer",Bo Burnham,A24,A24,R (Some Sexual Material|Language),"Comedy, 
Drama",English,"Aug 3, 2018, Wide","Sep 25, 2018",$13.5M,1h 33m,,Flat (1.85:1),Eighth Grade,99%,82%,,
Alfred Hitchcock,David O. Selznick,"Daphne Du Maurier, 
Philip MacDonald, 
Michael Hogan, 
Robert E. Sherwood, 
Joan Harrison, 
Barbara Keon",United Artists,Selznick International Pictures,,Mystery & Thriller,English,"Apr 12, 1940, Wide",,,2h 10m,Mono,Flat (1.37:1),Rebecca,98%,92%,,"Oct 14, 2008"
Andrei Tarkovsky,Aleksandra Demidova,"Arkadiy Strugatskiy, 
Boris Strugatskiy, 
Arkadiy Strugatskiy, 
Boris Strugatskiy",,Mosfilm,TV-14,"Sci-Fi, 
Adventure",Russian,"Oct 20, 1982, Original","Jul 18, 2017",$258.4K,2h 43m,,,Stalker,100%,92%,"May 5, 2017",
James Cameron,Gale Anne Hurd,"James Cameron, 
Gale Anne Hurd","MGM/UA Home Entertainment Inc., 
Artisan Entertainment, 
Metro-Goldwyn-Mayer Distributing Corp.",Pacific Western,R,"Sci-Fi, 
Action, 
Mystery & Thriller",English,"Oct 26, 1984, Original","Jul 5, 2015",,1h 48m,,,The Terminator,100%,89%,,
Christopher Nolan,"Jennifer Todd, 
Suzanne Todd","Christopher Nolan, 
Jonathan Nolan",Newmarket Film Group,"Team Todd, 
I Remember Productions, Llc, 
Newmarket Capital Group",R (Language|Drug Content|Violence),Mystery & Thriller,English,"Sep 5, 2000, Original","Mar 1, 2017",$25.5M,1h 56m,"Dolby SR, 
DTS, 
Dolby Stereo, 
Surround, 
SDDS, 
Dolby A, 
Dolby Digital",Scope (2.35:1),Memento,94%,94%,,
David Fincher,"Scott Rudin, 
Dana Brunetti, 
Michael De Luca, 
Ceán Chaffin",Aaron Sorkin,Sony Pictures Entertainment,"Scott Rudin Productions, 
Trigger Street Productions, 
Michael De Luca",PG-13 (Language|Drug and Alcohol Use|Sexual Content),"Drama, 
Biography",English,"Oct 1, 2010, Wide","Jun 5, 2012",$96.9M,2h 0m,"SDDS, 
Dolby Digital, 
DTS",,The Social Network,96%,87%,"Jan 7, 2011",
Kathryn Bigelow,"Kathryn Bigelow, 
Mark Boal, 
Nicolas Chartier",Mark Boal,Summit Media,"Voltage Pictures, 
Kingsgate Films, 
First Light Production",R (War Violence|Language),"War, 
Drama, 
Mystery & Thriller, 
Action",English,"Jul 31, 2009, Original","Sep 24, 2014",$15.7M,2h 7m,,,The Hurt Locker,96%,84%,,
Steve McQueen,"Brad Pitt, 
Dede Gardner, 
Jeremy Kleiner, 
Bill Pohlad, 
Steve McQueen, 
Arnon Milchan, 
Anthony Katagas",John Ridley,Fox Searchlight,"River Road, 
New Regency Pictures, 
Plan B Entertainment",R (Some Nudity|Brief Sexuality|Violence/Cruelty),"History, 
Drama, 
Biography",English,"Oct 18, 2013, Limited","Aug 31, 2015",$56.7M,2h 14m,"Datasat, 
Dolby Digital",,12 Years a Slave,95%,90%,"Jan 17, 2014",
Steven Spielberg,"Steven Spielberg, 
Walter F. Parkes","Jeff Nathanson, 
Frank Abagnale Jr., 
Stan Redding",DreamWorks SKG,"Parkes/MacDonald, 
DreamWorks SKG, 
Amblin Entertainment, 
Splendid Pictures",PG-13 (Some Sexual Content|Brief Language),"Comedy, 
Drama, 
Crime",English,"Dec 25, 2002, Wide","Aug 1, 2013",$164.4M,2h 20m,Surround,,Catch Me if You Can,96%,89%,,
Steven Spielberg,"David Brown, 
Richard D. Zanuck","Peter Benchley, 
Peter Benchley, 
Carl Gottlieb, 
Howard Sackler, 
John Milius, 
Robert Shaw","Universal Pictures, 
DiscoVision","Zanuck/Brown Productions, 
Universal Pictures",PG,"Holiday, 
Mystery & Thriller, 
Horror, 
Adventure",English,"Jun 20, 1975, Wide","Jul 22, 2015",$272.2M,2h 4m,"Mono, 
CDS",Scope (2.35:1),Jaws,97%,90%,,
Robert Bresson,"Alain Poiré, 
Jean Thuillier",,New Yorker Films,"Gaumont, 
Nouvelle France Productions",,Action,Canadian French,"Aug 26, 1957, Original","Mar 17, 2017",,1h 42m,Mono,,A Man Escaped,100%,93%,,
Guillermo del Toro,"Alfonso Cuarón, 
Bertha Navarro, 
Guillermo del Toro, 
Frida Torresblanco",Guillermo del Toro,Picturehouse,"Warner Bros., 
Tequila Gang",R (Some Language|Graphic Violence),"Fantasy, 
Drama, 
War",European Spanish,"Dec 29, 2006, Limited","Aug 1, 2010",$37.6M,2h 0m,"Dolby SRD, 
DTS, 
SDDS",Flat (1.85:1),Pan's Labyrinth,95%,91%,,
"Michael Powell, 
Emeric Pressburger","Michael Powell, 
Emeric Pressburger","Hans Christian Andersen, 
Michael Powell, 
Emeric Pressburger, 
Keith Winter, 
Marius Goring","MCA/Universal Pictures [us], 
Criterion Collection","The Archers, 
Independent Producers",,"Drama, 
Romance",British English,"Sep 6, 1948, Original","Mar 23, 2017",,2h 13m,Mono,,The Red Shoes,98%,91%,,
Otto Preminger,Otto Preminger,"John D. Voelker, 
Wendell Mayes",Columbia Pictures,"Carlyle Productions, 
Columbia Pictures Corporation",,"Crime, 
Drama, 
Mystery & Thriller",English,"Jul 1, 1959, Original","Apr 16, 2012",,2h 40m,Mono,Flat (1.85:1),Anatomy of a Murder,100%,91%,,
Wolfgang Petersen,"Günter Rohrbach, 
Ortwin Freyermuth","Lothar G. Buchheim, 
Wolfgang Petersen, 
Dean Riesner","RCA/Columbia, 
Columbia Pictures, 
Columbia TriStar Home Video","Bavaria Film, 
Westdeutscher Rundfunk, 
Radiant Productions",R,"War, 
Drama",German,"Sep 17, 1981, Original","May 1, 2012",,2h 30m,"Dolby, 
Dolby Digital, 
SDDS, 
Surround",1.66:1,Das Boot,98%,96%,,
Akira Kurosawa,Sojiro Motoki,"Akira Kurosawa, 
Shinobu Hashimoto, 
Hideo Oguni","Brandon Films Inc., 
Cowboy Pictures",Toho Company Ltd.,,"Drama, 
LGBTQ+",Japanese,"Mar 25, 1956, Wide","Oct 27, 2015",$55.2K,2h 23m,Mono,Academy (1.33:1),Ikiru,98%,97%,,
Roberto Rossellini,"Ferrucio DeMartino, 
Roberto Rossellini","Sergio Amidei, 
Alberto Consiglio, 
Sergio Amidei, 
Federico Fellini, 
Roberto Rossellini","Video Yesteryear, 
Reel Media International [us], 
Image Entertainment Inc., 
Kino Video, 
Criterion Collection",Excelsa Film,,Drama,Italian,"Feb 25, 1946, Wide","Oct 6, 2015",,1h 45m,Mono,Flat (1.37:1),Open City,100%,92%,,
Greta Gerwig,"Scott Rudin, 
Eli Bush, 
Evelyn O'Neill",Greta Gerwig,A24,"Scott Rudin Productions, 
A24",R (Language|Brief Graphic Nudity|Sexual Content|Teen Partying),"Comedy, 
Drama",English,"Nov 22, 2017, Wide","Feb 13, 2018",$48.9M,1h 34m,Dolby Digital,Flat (1.85:1),Lady Bird,99%,79%,,
Taika Waititi,"Carthew Neal, 
Leanne Saunders, 
Taika Waititi, 
Matt Noonan",Taika Waititi,The Orchard,"Defender Films, 
Piki Films",PG-13 (Thematic Elements|Some Language|Violent Content),"Comedy, 
Adventure",Australian English,"Jun 24, 2016, Limited","Sep 20, 2016",$5.2M,1h 41m,,,Hunt for the Wilderpeople,97%,91%,,
David Mackenzie,"Sidney Kimmel, 
Peter Berg, 
Carla Hacken, 
Julie Yorn",Taylor Sheridan,"CBS Films, 
Lionsgate Films","Madison Wells, 
Odd Lot Entertainment, 
Sidney Kimmel Entertainment, 
LBI Entertainment, 
Film 44, 
CBS Films",R (Language Throughout|Brief Sexuality|Some Strong Violence),"Crime, 
Drama, 
Mystery & Thriller, 
Western, 
Action",English,"Aug 19, 2016, Wide","Nov 8, 2016",$27.0M,1h 37m,,Scope (2.35:1),Hell or High Water,97%,88%,,
Jean-Pierre Melville,Jacques Dorfmann,Jean-Pierre Melville,Universal Pictures,"Les Films Corona, 
Fono Roma",,"War, 
History, 
Drama",French (France),"Jun 19, 1970, Original","Sep 2, 2014",$75.4K,2h 20m,,,Army of Shadows,97%,94%,"Aug 2, 2024",
Guy Hamilton,"Albert R. Broccoli, 
Harry Saltzman","Ian Fleming, 
Richard Maibaum, 
Paul Dehn",United Artists,"United Artists, 
EON Productions, 
Danjaq Productions",PG,"Action, 
Adventure, 
Mystery & Thriller",British English,"Dec 25, 1964, Wide","Oct 1, 2016",,1h 52m,Mono,Flat (1.85:1),007: Goldfinger,99%,89%,,
Preston Sturges,Paul Jones,"Monckton Hoffe, 
Preston Sturges","Paramount Pictures, 
Criterion Collection",Paramount Pictures,,"Romance, 
Comedy",English,"Feb 25, 1941, Original","Mar 18, 2014",,1h 37m,Mono,"35mm, 
Flat (1.37:1)",The Lady Eve,99%,87%,,
Steven Spielberg,"Ian Bryce, 
Mark Gordon, 
Gary Levinsohn, 
Steven Spielberg",Robert Rodat,"Paramount Pictures, 
DreamWorks SKG","DreamWorks SKG, 
Mutual Film Company, 
Amblin Entertainment, 
Paramount Pictures, 
Mark Gordon Productions",R (Graphic Sequences of War|Graphic Sequences of Violence|Language),"War, 
History, 
Drama",English,"Jul 24, 1998, Wide","May 27, 2016",,2h 49m,"Dolby SR, 
DTS, 
Dolby Stereo, 
Surround, 
SDDS, 
Dolby A, 
Dolby Digital",Flat (1.85:1),Saving Private Ryan,94%,95%,,
Brad Bird,Brad Lewis,Brad Bird,Buena Vista,Pixar Animation Studios,G,"Kids & Family, 
Comedy, 
Animation",English,"Jun 29, 2007, Wide","Jan 1, 2014",$206.4M,1h 51m,"Dolby SRD, 
DTS, 
SDDS",Scope (2.35:1),Ratatouille,96%,87%,,
J.J. Abrams,"J.J. Abrams, 
Damon Lindelof","Roberto Orci, 
Alex Kurtzman",Paramount Pictures,"Bad Robot, 
Spyglass Entertainment, 
Paramount Pictures",PG-13 (Sci-Fi Action|Brief Sexual Content|Violence),"Sci-Fi, 
Adventure, 
Action, 
Fantasy",English,"May 7, 2009, Wide","Aug 1, 2013",$257.7M,2h 6m,,,Star Trek,94%,91%,"Sep 8, 2023",
Brad Bird,"Des McAnuff, 
Allison Abbate","Ted Hughes, 
Brad Bird, 
Tim McCanlies",Warner Bros. Pictures,"Warner Brothers, 
Warner Bros. Animation",PG (Mild Language|Fantasy Action),"Kids & Family, 
Adventure, 
Fantasy, 
Action, 
Animation",English,"Aug 4, 1999, Wide","Apr 3, 2008",,1h 26m,Surround,,The Iron Giant,96%,90%,,
"Terry Gilliam, 
Terry Jones",Mark Forstater,"Graham Chapman, 
John Cleese, 
Eric Idle, 
Terry Gilliam, 
Terry Jones, 
Michael Palin",Columbia Pictures,"Michael White Productions, 
Python (Monty) Pictures Limited, 
National Film Trustee Company",PG,Comedy,English,"Apr 1, 1975, Wide","Mar 17, 2017",$1.8M,1h 30m,Mono,Flat (1.85:1),Monty Python and the Holy Grail Sing-Along,96%,95%,"Jun 15, 2001",
George Lucas,Gary Kurtz,George Lucas,,Lucasfilm Ltd.,PG,"Sci-Fi, 
Adventure, 
Action, 
Fantasy",English,"May 25, 1977, Wide","Oct 10, 2016",$345,2h 1m,Surround,,Star Wars: Episode IV - A New Hope,93%,96%,"Aug 13, 1982",
Alfred Hitchcock,Jack H. Skirball,"Gordon McDonell, 
Thornton Wilder, 
Sally Benson, 
Alma Reville",Universal Pictures,Universal Pictures,PG,"Crime, 
Drama, 
Mystery & Thriller",English,"Jan 1, 1943, Wide","Apr 19, 2016",,1h 48m,Mono,Flat (1.37:1),Shadow of a Doubt,100%,89%,,
Andrew Stanton,Jim Morris,"Andrew Stanton, 
Jim Reardon","Pixar Animation Studios, 
Walt Disney",Pixar Animation Studios,G,"Kids & Family, 
Adventure, 
Sci-Fi, 
Comedy, 
Animation",English,"Jun 27, 2008, Wide","Jan 1, 2014",,1h 37m,"SDDS, 
Dolby Digital, 
DTS",,WALL-E,95%,90%,,
John Crowley,"Finola Dwyer, 
Amanda Posey",Nick Hornby,Fox Searchlight,"Item 7, 
Parallel Films, 
Wildgaze Films, 
Finola Dwyer Prods.",PG-13 (Brief Strong Language|A Scene of Sexuality),"Romance, 
History, 
Drama",British English,"Nov 25, 2015, Wide","Feb 23, 2016",$38.3M,1h 52m,,,Brooklyn,97%,87%,,
Frank Capra,Frank Capra,"Lewis R. Foster, 
Sidney Buchman","Columbia Pictures, 
Columbia TriStar Home Video, 
Columbia Tristar",Columbia Pictures Corporation,,"Comedy, 
Drama",English,"Oct 19, 1939, Wide","Apr 16, 2012",,2h 5m,,,Mr. Smith Goes to Washington,97%,94%,,
Jon Watts,"Kevin Feige, 
Amy Pascal","Chris McKenna, 
Erik Sommers",Columbia Pictures,"Columbia Pictures, 
Marvel Studios, 
Pascal Pictures",PG-13 (Sequences of Action/Violence|Brief Suggestive Comments|Some Language),"Action, 
Adventure, 
Fantasy, 
Comedy",English,"Dec 17, 2021, Wide","Mar 15, 2022",$814.1M,2h 28m,"Dolby Digital, 
Dolby Atmos",Scope (2.35:1),Spider-Man: No Way Home,93%,97%,,
William Wyler,Samuel Goldwyn,"MacKinlay Kantor, 
Robert E. Sherwood",RKO Radio Pictures,Samuel Goldwyn Company,,Drama,English,"Nov 21, 1946, Wide","Dec 1, 2012",,2h 52m,Mono,Flat (1.37:1),The Best Years of Our Lives,98%,93%,,
David Lean,Sam Spiegel,"Pierre Boulle, 
Michael Wilson, 
Carl Foreman",Columbia Pictures,"Columbia Pictures, 
Horizon Films",PG,"War, 
Drama",British English,"Dec 18, 1957, Wide","May 3, 2013",,2h 41m,"Surround, 
Mono, 
Magnetic Stereo 6 Track, 
Stereo",Scope (2.35:1),The Bridge on the River Kwai,96%,93%,,
Rainer Werner Fassbinder,Rainer Werner Fassbinder,,New Yorker Films,Filmverlag der Autoren,,"Romance, 
Drama",German,"Oct 5, 1974, Wide","Mar 11, 2017",,1h 34m,,,Ali: Fear Eats the Soul,100%,91%,,
Damien Chazelle,"Helen Estabrook, 
Jason Blum, 
Michel Litvak, 
David Lancaster",Damien Chazelle,Sony Pictures Classics,"Blumhouse, 
Bold Films, 
Right of Way Films",R (Strong Language|Some Sexual References),"Drama, 
Music",English,"Oct 10, 2014, Limited","Sep 8, 2016",$911.4K,1h 46m,"Datasat, 
SDDS, 
Dolby Digital",,Whiplash,94%,94%,,
Lulu Wang,"Chris Weitz, 
Andrew Miano, 
Peter Saraf, 
Marc Turtletaub, 
Anita Gou, 
Daniele Tate Melia, 
Jane Zheng, 
Dani Melia",Lulu Wang,A24,"Ray Production, 
Kindred Spirit, 
Big Beach",PG (Some Smoking|Brief Language|Thematic Material),"Comedy, 
Drama",English,"Aug 2, 2019, Wide","Aug 27, 2019",$17.7M,1h 40m,,Scope (2.35:1),The Farewell,97%,87%,,
Clint Eastwood,Clint Eastwood,David Webb Peoples,Warner Bros. Pictures,"Warner Brothers, 
Malpaso Company",R,Western,English,"Aug 7, 1992, Original","Aug 15, 2008",$100.0M,2h 10m,Surround,,Unforgiven,96%,93%,,
"Michael Curtiz, 
William Keighley",Hal B. Wallis,"Norman Reilly Raine, 
Seton I. Miller",Warner Bros. Pictures,"Warner Brothers, 
First National Pictures",PG,"Adventure, 
Action",English,"Feb 11, 1938, Wide","Jul 28, 2008",,1h 42m,Mono,Flat (1.37:1),The Adventures of Robin Hood,100%,89%,,
Quentin Tarantino,Lawrence Bender,"Quentin Tarantino, 
Quentin Tarantino, 
Roger Avary",Miramax Films,"Miramax Films, 
A Band Apart, 
Jersey Films",R (Graphic Violence|Drug Use|Strong Violence|Pervasive Language|Some Sexuality|Strong Language),"Crime, 
Drama",English,"Oct 14, 1994, Wide","Apr 21, 2016",,2h 34m,"Dolby Digital, 
Dolby SR, 
Stereo, 
Dolby Stereo, 
Dolby A",Scope (2.35:1),Pulp Fiction,92%,96%,,
Tom Hooper,"Iain Canning, 
Emile Sherman, 
Gareth Unwin",David Seidler,Weinstein Co.,"See-Saw Films, 
Bedlam Pictures",R (Some Language),"History, 
Drama",British English,"Jan 28, 2011, Wide","Apr 1, 2017",$138.8M,1h 58m,,,The King's Speech,94%,92%,,
Debra Granik,"Anne Harrison, 
Linda Reisman, 
Anne Rosellini","Debra Granik, 
Anne Rosellini",Bleecker Street Media,"Harrison Productions, 
Still Rolling Productions",PG (Thematic Material Throughout),Drama,English,"Jun 29, 2018, Limited","Sep 25, 2018",$6.0M,1h 48m,,,Leave No Trace,100%,78%,,
Irvin Kershner,Gary Kurtz,"George Lucas, 
Lawrence Kasdan, 
Leigh Brackett",20th Century Fox,Lucasfilm Ltd.,PG (Sci-Fi Action Violence),"Sci-Fi, 
Adventure, 
Action, 
Fantasy",English,"May 21, 1980, Wide","Apr 10, 2015",$291.9M,2h 4m,"Surround, 
Dolby Stereo, 
Dolby A, 
Magnetic Stereo 6 Track",Scope (2.35:1),Star Wars: Episode V - The Empire Strikes Back,95%,97%,"Nov 19, 1982",
Carl Theodor Dreyer,,"Carl Theodor Dreyer, 
Joseph Delteil","Criterion Collection, 
Video Yesteryear, 
Janus Films, 
LS Video",Société générale des films,,"History, 
Drama, 
Biography",,"Apr 21, 1928, Original","Jul 23, 2018",$6.4K,1h 17m,,35mm,The Passion of Joan of Arc,98%,93%,,
Robert Redford,"Robert Redford, 
Michael Jacobs, 
Julian Krainin, 
Michael Nozik",Paul Attanasio,Buena Vista Pictures,"Baltimore Pictures, 
Wildwood Enterprises, 
Hollywood Pictures",PG-13,Drama,English,"Sep 14, 1994, Wide","Jan 1, 2014",$24.8M,2h 10m,"Surround, 
Stereo",,Quiz Show,97%,87%,,
"Anthony Russo, 
Joe Russo",Kevin Feige,"Christopher Markus, 
Stephen McFeely",Walt Disney,"Marvel Studios, 
Walt Disney Pictures",PG-13 (Sequences of Sci-Fi Violence|Action|Some Language),"Action, 
Adventure, 
Fantasy, 
Sci-Fi",English,"Apr 26, 2019, Wide","Jul 30, 2019",$858.4M,3h 1m,"Dolby Atmos, 
DTS, 
Dolby Digital, 
SDDS",Scope (2.35:1),Avengers: Endgame,94%,90%,,
Akira Kurosawa,"Masato Hara, 
Serge Silberman","Masato Ide, 
Akira Kurosawa, 
Hideo Oguni, 
William Shakespeare",Orion Pictures,"Nippon Herald Films, 
Greenwich Film Productions, 
Herald Ace",R,"History, 
Drama",Japanese,"Jun 1, 1985, Original","Apr 29, 2011",$454.0K,2h 40m,"Magnetic Stereo 4 Track, 
Dolby Stereo, 
Surround",Scope (2.35:1),Ran,96%,95%,"Feb 26, 2016",
"Fred Newmeyer, 
Sam Taylor","Jeffrey Vance, 
Hal Roach, 
Kevin Brownlow, 
David Gill","Sam Taylor, 
H. M. Walker, 
Hal Roach, 
Tim Whelan","Continental Home Vídeo [br], 
Pathé Exchange Inc.","Pathé, 
Hal Roach Studios Inc.",,Comedy,English,"Apr 1, 1923, Wide","Mar 17, 2017",,1h 14m,,Flat (1.37:1),Safety Last,97%,93%,,
Jon Favreau,"Avi Arad, 
Kevin Feige","Mark Fergus, 
Hawk Ostby, 
Art Marcum, 
Matt Holloway",Paramount Pictures,"Marvel Enterprises, 
Paramount",PG-13 (Intense Sci-Fi Action/Violence|Brief Suggestive Content),"Action, 
Adventure, 
Sci-Fi, 
Fantasy",English,"May 2, 2008, Wide","Mar 1, 2013",$318.3M,2h 6m,"Dolby SRD, 
DTS, 
SDDS",Scope (2.35:1),Iron Man,94%,91%,,
"John Musker, 
Ron Clements",Osnat Shurer,Jared Bush,Walt Disney,Walt Disney Animation Studios,PG (Peril|Brief Thematic Elements|Some Scary Images),"Kids & Family, 
Musical, 
Comedy, 
Adventure, 
Animation",English,"Nov 23, 2016, Wide","Feb 21, 2017",$248.8M,1h 47m,"Dolby Digital, 
SDDS, 
Dolby Atmos",Digital 2.39:1,Moana,95%,89%,"Jan 20, 2017",
Greta Gerwig,"Denise Di Novi, 
Amy Pascal, 
Robin Swicord",Greta Gerwig,"Columbia Pictures, 
Sony Pictures Entertainment","Columbia Pictures, 
Pascal Pictures, 
New Regency Pictures",PG (Thematic Elements|Brief Smoking),Drama,English,"Dec 25, 2019, Wide","Dec 25, 2019",$108.1M,2h 15m,Dolby Atmos,Flat (1.85:1),Little Women,95%,92%,,
